"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 14:01:25:153 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","mutation_size","Neighborhood_size","baseline_fitness","payoff_assessment","mutation_probability","Mode","Game_Type","initial_propD","initial_heterogeneity","benefit","[step]","mean [strat_P_cur] of patches"
"130","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.38076965385573797"
"131","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.32862828171219166"
"132","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.3274138277343032"
"133","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.3409800131210156"
"134","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.3391683090800242"
"135","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.3493777482386788"
"136","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.3405796934918125"
"137","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.33205696577751265"
"138","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.33267517177168465"
"139","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.33267072080435245"
"140","0.7878788","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.3246540649914437"
"141","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.2896717769648139"
"143","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.2995214212408829"
"142","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.2739745189287533"
"144","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.28503766136571795"
"145","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.2877749437120273"
"146","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.2745201528440131"
"148","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.2690816984122546"
"147","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.28695427779769667"
"149","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.2780720167405581"
"150","0.8235294","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.28568378369692143"
"151","0.8571429","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.23969585661938883"
"152","0.8571429","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.21186945120733836"
"153","0.8571429","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.2387460522390153"
"154","0.8571429","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.21851088714255332"
"155","0.8571429","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.23207285504603797"
"157","0.8571429","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.2358109565605766"
"156","0.8571429","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.25024638733606724"
