"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
""
"12/16/2014 12:17:20:871 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","initial_heterogeneity","Neighborhood_size","initial_propD","mutation_size","cost","Mode","Game_Type","payoff_assessment","benefit","baseline_fitness","mutation_probability","[step]","mean [strat_P_cur] of patches"
"127","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.35329474573594993"
"126","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3535227018769297"
"128","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.34798939439839055"
"129","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3570114294725499"
"130","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3356829455408383"
"131","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3112095006888444"
"132","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2860198372524018"
"133","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.32234960560907705"
"134","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2824145864055637"
"136","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3007743015023786"
"135","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3029228338012905"
"137","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2870367659054502"
"138","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.30374903543847664"
"139","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2986897426244095"
"141","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2559030657645588"
"140","0.02","4","0.01","0.0020","0.7878788","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.31756803989120336"
"142","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.25230874690586347"
"143","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.24805250320805816"
"144","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.24689822734770825"
"145","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.25932095514675574"
"146","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.25266764346396225"
"147","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.25051202554861757"
"148","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2561878136064357"
"150","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2651227897743352"
"149","0.02","4","0.01","0.0020","0.8235294","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2539219205589673"
"151","0.02","4","0.01","0.0020","0.8571429","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2046278408029865"
"152","0.02","4","0.01","0.0020","0.8571429","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.18715725622398335"
"153","0.02","4","0.01","0.0020","0.8571429","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.2057523946188586"
"154","0.02","4","0.01","0.0020","0.8571429","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.1822741315173293"
"155","0.02","4","0.01","0.0020","0.8571429","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.20447093966747434"
"156","0.02","4","0.01","0.0020","0.8571429","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.20180318698510208"
"157","0.02","4","0.01","0.0020","0.8571429","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.19597884047404346"
