"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 12:21:56:494 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","benefit","mutation_probability","initial_heterogeneity","initial_propD","Neighborhood_size","cost","mutation_size","Mode","Game_Type","payoff_assessment","[step]","mean [strat_P_cur] of patches"
"89","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5772789720259404"
"90","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5758055091103952"
"92","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5240959265337539"
"91","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5246165252731265"
"93","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5208408350462629"
"94","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5363252477927546"
"95","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5260735703176717"
"97","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5354950853197754"
"96","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5291297226621248"
"98","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5539856956619021"
"99","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5258643943506995"
"100","0","1","0.01","0.02","0.01","12","0.6206897","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.523190977909197"
"101","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4773756652084378"
"102","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.47904868971166564"
"103","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4829943496566818"
"104","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4887934312316705"
"105","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4686144973326152"
"106","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.46722982574376687"
"107","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4895934591030887"
"108","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4709074491131182"
"109","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.48334729904772455"
"110","0","1","0.01","0.02","0.01","12","0.6666667","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4698979001797537"
"111","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4274165681931417"
"112","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4202188737768556"
"113","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.44024072496919364"
"114","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4324525703705152"
"115","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.44389799262216406"
"116","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4246835595107244"
"118","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4324081212546164"
"117","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4326865221058673"
"119","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4325536464499311"
"120","0","1","0.01","0.02","0.01","12","0.7096774","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.4260150035973067"
"121","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.38057223132957974"
"123","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.3616267024904355"
"124","0","1","0.01","0.02","0.01","12","0.75","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.3837218003285444"
