"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial_correct.nlogo"
"experiment"
"12/15/2014 11:56:07:352 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","payoff_assessment","mutation_size","mutation_probability","baseline_fitness","strategy","cost","benefit","initial_heterogeneity","[step]","mean [strat_P] of patches"
"149","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.3134644642228433"
"150","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.3184168678382762"
"151","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.2671247059595947"
"153","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.2687716907752551"
"152","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.2794436789290133"
"154","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.27341199706646546"
"155","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.2578940908260431"
"156","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.25621837341596937"
"158","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.2704267753488085"
"159","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.26537564781933276"
"157","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.27226854887927043"
"160","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8571429","1","0.02","10000","0.26829353038166304"
"161","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.22125613915434894"
"162","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.21001355687532886"
"163","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.2218460847741605"
"164","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.22549922974103645"
"165","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.22832253453837434"
"166","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.23691449022622002"
"168","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.2147595137560482"
"167","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.2144876437688795"
"169","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.22887341316801685"
"170","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8888889","1","0.02","10000","0.20940105401978076"
"171","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.16960753821867985"
"173","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.17052803191759244"
"174","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.17058391276588464"
"172","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.16039932644035948"
"175","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.16199555262930046"
"176","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.1723208984548082"
"177","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.1705937064268625"
"178","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.1767517692218572"
"179","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.17573436573048634"
"180","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9189189","1","0.02","10000","0.16202579179978005"
"181","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.11617868666073605"
"183","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.14074187725458967"
"184","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.12864515239056293"
"182","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.11111289445383533"
"185","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.1410620753032844"
"186","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.1305209024904441"
"187","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.11430883734105034"
"188","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.09758253811242969"
"189","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.11564698373499918"
"190","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.9473684","1","0.02","10000","0.11644855497144656"
"191","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.07880546600886523"
"193","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.062147142455384725"
"194","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.0678800769466691"
"192","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.07929464652787642"
"195","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.07337585078285515"
"196","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.06519645040969713"
"197","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.07535797739611282"
"199","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.06413092542602918"
"198","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.07204413781682117"
"200","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.974359","1","0.02","10000","0.08220329559345999"
"201","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.01817401501301049"
"202","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.02854603079200353"
"203","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.029582259272790692"
"204","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.02542446612312273"
"205","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.025324240639713724"
"206","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.040326469141484474"
"208","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.025663881664035784"
"209","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.03703857794939857"
"207","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.03403363325073187"
"210","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","1","1","0.02","10000","0.03703585383655705"
